Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
501,Entry short,2025-06-03 11:15,Short,57148.15,1,57148.15,1285.63,0.06,7337.94,0.37,-3449.06,-0.17,-419437.06,-4.19
502,Exit long,2025-06-03 15:07,Close entry(s) order Long,57058.35,1,57113.35,-3123.8,-0.16,1458.31,0.07,-2916.69,-0.15,-422560.88,-4.23
502,Entry long,2025-06-03 14:33,Long,57113.35,1,57113.35,-3123.8,-0.16,1458.31,0.07,-2916.69,-0.15,-422560.88,-4.23
503,Exit short,2025-06-04 09:17,Close entry(s) order Short,57072.15,1,56948.15,-5537.21,-0.28,0,0.00,-5770.96,-0.29,-428098.1,-4.28
503,Entry short,2025-06-03 15:28,Short,56948.15,1,56948.15,-5537.21,-0.28,0,0.00,-5770.96,-0.29,-428098.1,-4.28
504,Exit short,2025-06-04 10:28,Close entry(s) order Short,56947.15,1,56932.55,-1706.74,-0.09,4141.21,0.21,-1129.79,-0.06,-429804.8,-4.30
504,Entry short,2025-06-04 09:34,Short,56932.55,1,56932.55,-1706.74,-0.09,4141.21,0.21,-1129.79,-0.06,-429804.8,-4.30
505,Exit long,2025-06-04 12:32,Close entry(s) order Long,57036.15,1,57064.15,-2178.05,-0.11,1150.83,0.06,-2342.17,-0.12,-431982.88,-4.32
505,Entry long,2025-06-04 11:30,Long,57064.15,1,57064.15,-2178.05,-0.11,1150.83,0.06,-2342.17,-0.12,-431982.88,-4.32
506,Exit short,2025-06-04 13:55,Close entry(s) order Short,57048.55,1,57012.15,-2471.64,-0.12,339.37,0.02,-2103.63,-0.11,-434454.5,-4.34
506,Entry short,2025-06-04 13:18,Short,57012.15,1,57012.15,-2471.64,-0.12,339.37,0.02,-2103.63,-0.11,-434454.5,-4.34
507,Exit long,2025-06-04 14:30,Close entry(s) order Long,57043.15,1,57097.15,-3088.47,-0.15,0,0.00,-3049.52,-0.15,-437543,-4.38
507,Entry long,2025-06-04 14:09,Long,57097.15,1,57097.15,-3088.47,-0.15,0,0.00,-3049.52,-0.15,-437543,-4.38
508,Exit long,2025-06-04 15:10,Close entry(s) order Long,57072.75,1,57125.75,-3054.08,-0.15,72.18,0.00,-2790.82,-0.14,-440597.06,-4.41
508,Entry long,2025-06-04 14:58,Long,57125.75,1,57125.75,-3054.08,-0.15,72.18,0.00,-2790.82,-0.14,-440597.06,-4.41
509,Exit short,2025-06-05 09:30,Close entry(s) order Short,57058.35,1,56998.15,-3304.59,-0.17,1151.52,0.06,-2705.48,-0.14,-443901.66,-4.44
509,Entry short,2025-06-05 09:18,Short,56998.15,1,56998.15,-3304.59,-0.17,1151.52,0.06,-2705.48,-0.14,-443901.66,-4.44
510,Exit long,2025-06-05 10:19,Close entry(s) order Long,57060.55,1,57169.15,-5000.41,-0.25,0,0.00,-4520.28,-0.23,-448902.06,-4.49
510,Entry long,2025-06-05 09:51,Long,57169.15,1,57169.15,-5000.41,-0.25,0,0.00,-4520.28,-0.23,-448902.06,-4.49
511,Exit long,2025-06-05 11:45,Close entry(s) order Long,57117.15,1,57172.15,-3125.04,-0.16,0,0.00,-2630.31,-0.13,-452027.12,-4.52
511,Entry long,2025-06-05 11:26,Long,57172.15,1,57172.15,-3125.04,-0.16,0,0.00,-2630.31,-0.13,-452027.12,-4.52
512,Exit long,2025-06-05 12:26,Close entry(s) order Long,57175.95,1,57196.75,-1928.91,-0.10,3578.43,0.18,-1790.57,-0.09,-453956.03,-4.54
512,Entry long,2025-06-05 12:05,Long,57196.75,1,57196.75,-1928.91,-0.10,3578.43,0.18,-1790.57,-0.09,-453956.03,-4.54
513,Exit short,2025-06-05 14:40,Close entry(s) order Short,57106.15,1,57047.15,-3263.61,-0.16,955,0.05,-3398.99,-0.17,-457219.62,-4.57
513,Entry short,2025-06-05 13:44,Short,57047.15,1,57047.15,-3263.61,-0.16,955,0.05,-3398.99,-0.17,-457219.62,-4.57
514,Exit long,2025-06-06 09:16,Close entry(s) order Long,57043.15,1,57151.15,-4979.04,-0.25,309.91,0.02,-5640.09,-0.28,-462198.7,-4.62
514,Entry long,2025-06-05 15:17,Long,57151.15,1,57151.15,-4979.04,-0.25,309.91,0.02,-5640.09,-0.28,-462198.7,-4.62
515,Exit short,2025-06-06 10:06,Close entry(s) order Short,57055.55,1,56993.15,-3381.51,-0.17,3461.57,0.17,-2782.43,-0.14,-465580.2,-4.66
515,Entry short,2025-06-06 09:35,Short,56993.15,1,56993.15,-3381.51,-0.17,3461.57,0.17,-2782.43,-0.14,-465580.2,-4.66
516,Exit long,2025-06-06 10:12,Close entry(s) order Long,57049.15,1,57337.15,-11281.06,-0.56,0,0.00,-10689.04,-0.53,-476861.25,-4.77
516,Entry long,2025-06-06 10:07,Long,57337.15,1,57337.15,-11281.06,-0.56,0,0.00,-10689.04,-0.53,-476861.25,-4.77
517,Exit long,2025-06-06 12:21,Close entry(s) order Long,57707.15,1,57395.15,9711.43,0.48,16932.35,0.84,-903.65,-0.04,-467149.8,-4.67
517,Entry long,2025-06-06 10:30,Long,57395.15,1,57395.15,9711.43,0.48,16932.35,0.84,-903.65,-0.04,-467149.8,-4.67
518,Exit long,2025-06-06 14:36,Close entry(s) order Long,57839.55,1,57875.95,-2489.01,-0.12,1282.3,0.06,-2238.7,-0.11,-469638.84,-4.70
