Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
5791,Entry short,2024-06-14 11:26:50,Short,54679.05,1,54679.05,-684.37,-0.04,1462.87,0.08,-784.13,-0.04,-6897442,-68.97
5792,Exit long,2024-06-14 11:46:40,Close entry(s) order Long,54658.25,1,54680.6,-1930.31,-0.10,0,0.00,-1457.9,-0.08,-6899372.5,-68.99
5792,Entry long,2024-06-14 11:44:30,Long,54680.6,1,54680.6,-1930.31,-0.10,0,0.00,-1457.9,-0.08,-6899372.5,-68.99
5793,Exit short,2024-06-14 12:14:40,Close entry(s) order Short,54631.95,1,54637.05,-968.82,-0.05,1545.56,0.08,-1105.69,-0.06,-6900341,-69.00
5793,Entry short,2024-06-14 12:04:30,Short,54637.05,1,54637.05,-968.82,-0.05,1545.56,0.08,-1105.69,-0.06,-6900341,-69.00
5794,Exit short,2024-06-14 12:36:50,Close entry(s) order Short,54603.95,1,54578.45,-2038.92,-0.11,0,0.00,-1465.57,-0.08,-6902380,-69.02
5794,Entry short,2024-06-14 12:35:50,Short,54578.45,1,54578.45,-2038.92,-0.11,0,0.00,-1465.57,-0.08,-6902380,-69.02
5795,Exit long,2024-06-14 13:02:50,Close entry(s) order Long,54636,1,54623.8,-720.23,-0.04,1066.2,0.06,-949.8,-0.05,-6903100,-69.03
5795,Entry long,2024-06-14 12:42:30,Long,54623.8,1,54623.8,-720.23,-0.04,1066.2,0.06,-949.8,-0.05,-6903100,-69.03
5796,Exit long,2024-06-14 13:17:10,Close entry(s) order Long,54650.85,1,54662.15,-1543.29,-0.08,190.8,0.01,-988.7,-0.05,-6904643.5,-69.05
5796,Entry long,2024-06-14 13:11:10,Long,54662.15,1,54662.15,-1543.29,-0.08,190.8,0.01,-988.7,-0.05,-6904643.5,-69.05
5797,Exit short,2024-06-14 13:41:50,Close entry(s) order Short,54629.65,1,54626.9,-1243.44,-0.07,436.17,0.02,-755.58,-0.04,-6905887,-69.06
5797,Entry short,2024-06-14 13:33:50,Short,54626.9,1,54626.9,-1243.44,-0.07,436.17,0.02,-755.58,-0.04,-6905887,-69.06
5798,Exit short,2024-06-14 13:57:30,Close entry(s) order Short,54596,1,54596.15,-1141.27,-0.06,404.99,0.02,-869.01,-0.05,-6907028,-69.07
5798,Entry short,2024-06-14 13:49:40,Short,54596.15,1,54596.15,-1141.27,-0.06,404.99,0.02,-869.01,-0.05,-6907028,-69.07
5799,Exit long,2024-06-14 14:08:50,Close entry(s) order Long,54588.05,1,54613.05,-2021.61,-0.11,0,0.00,-1579.69,-0.08,-6909050,-69.09
5799,Entry long,2024-06-14 14:06:00,Long,54613.05,1,54613.05,-2021.61,-0.11,0,0.00,-1579.69,-0.08,-6909050,-69.09
5800,Exit short,2024-06-14 14:18:20,Close entry(s) order Short,54596.6,1,54563.05,-2320.43,-0.12,0,0.00,-1789.16,-0.09,-6911370.5,-69.11
5800,Entry short,2024-06-14 14:16:30,Short,54563.05,1,54563.05,-2320.43,-0.12,0,0.00,-1789.16,-0.09,-6911370.5,-69.11
5801,Exit long,2024-06-14 14:42:20,Close entry(s) order Long,54605.05,1,54602.95,-1073.18,-0.06,770.67,0.04,-1185.83,-0.06,-6912443.5,-69.12
5801,Entry long,2024-06-14 14:31:20,Long,54602.95,1,54602.95,-1073.18,-0.06,770.67,0.04,-1185.83,-0.06,-6912443.5,-69.12
5802,Exit long,2024-06-14 15:06:50,Close entry(s) order Long,54646.7,1,54640.7,-937.52,-0.05,1258.52,0.07,-1016.48,-0.05,-6913381,-69.13
5802,Entry long,2024-06-14 14:57:30,Long,54640.7,1,54640.7,-937.52,-0.05,1258.52,0.07,-1016.48,-0.05,-6913381,-69.13
5803,Exit short,2024-06-14 15:12:00,Close entry(s) order Short,54644.45,1,54605.55,-2508.62,-0.13,0,0.00,-2155.36,-0.11,-6915889.5,-69.16
5803,Entry short,2024-06-14 15:08:40,Short,54605.55,1,54605.55,-2508.62,-0.13,0,0.00,-2155.36,-0.11,-6915889.5,-69.16
5804,Exit short,2024-06-14 15:27:50,Close entry(s) order Short,54626.1,1,54600.75,-2034.13,-0.11,0,0.00,-1460.56,-0.08,-6917923.5,-69.18
5804,Entry short,2024-06-14 15:19:40,Short,54600.75,1,54600.75,-2034.13,-0.11,0,0.00,-1460.56,-0.08,-6917923.5,-69.18
5805,Exit long,2024-06-18 09:19:10,Close entry(s) order Long,54699.45,1,54772.05,-3690.45,-0.19,0,0.00,-3340.11,-0.17,-6921614,-69.22
5805,Entry long,2024-06-18 09:15:10,Long,54772.05,1,54772.05,-3690.45,-0.19,0,0.00,-3340.11,-0.17,-6921614,-69.22
