Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1163,Exit long,2025-01-11 17:38,Close entry(s) order Long,94479.5,1,94369,53.85,0.06,350.69,0.37,-138.81,-0.15,-67323.2,-0.67
1163,Entry long,2025-01-11 15:42,Long,94369,1,94369,53.85,0.06,350.69,0.37,-138.81,-0.15,-67323.2,-0.67
1164,Exit short,2025-01-11 20:02,Close entry(s) order Short,94416.5,1,94461.5,-11.66,-0.01,173.16,0.18,-58.84,-0.06,-67334.86,-0.67
1164,Entry short,2025-01-11 18:37,Short,94461.5,1,94461.5,-11.66,-0.01,173.16,0.18,-58.84,-0.06,-67334.86,-0.67
1165,Exit short,2025-01-11 21:47,Close entry(s) order Short,94432.5,1,94287,-202.12,-0.21,7.71,0.01,-173.79,-0.18,-67536.97,-0.68
1165,Entry short,2025-01-11 21:39,Short,94287,1,94287,-202.12,-0.21,7.71,0.01,-173.79,-0.18,-67536.97,-0.68
1166,Exit long,2025-01-11 22:22,Close entry(s) order Long,94424,1,94616,-248.71,-0.26,36.12,0.04,-225.38,-0.24,-67785.69,-0.68
1166,Entry long,2025-01-11 22:08,Long,94616,1,94616,-248.71,-0.26,36.12,0.04,-225.38,-0.24,-67785.69,-0.68
1167,Exit short,2025-01-11 23:58,Close entry(s) order Short,94245,1,94224,-77.54,-0.08,250.73,0.27,-161.27,-0.17,-67863.23,-0.68
1167,Entry short,2025-01-11 22:36,Short,94224,1,94224,-77.54,-0.08,250.73,0.27,-161.27,-0.17,-67863.23,-0.68
1168,Exit long,2025-01-12 00:39,Close entry(s) order Long,94155,1,94292,-193.53,-0.21,0,0.00,-170.29,-0.18,-68056.76,-0.68
1168,Entry long,2025-01-12 00:34,Long,94292,1,94292,-193.53,-0.21,0,0.00,-170.29,-0.18,-68056.76,-0.68
1169,Exit short,2025-01-12 01:25,Close entry(s) order Short,94172.5,1,94030,-198.96,-0.21,0,0.00,-170.71,-0.18,-68255.72,-0.68
1169,Entry short,2025-01-12 01:05,Short,94030,1,94030,-198.96,-0.21,0,0.00,-170.71,-0.18,-68255.72,-0.68
1170,Exit long,2025-01-12 03:49,Close entry(s) order Long,94689.5,1,94377.5,255.28,0.27,583.19,0.62,-69.31,-0.07,-68000.44,-0.68
1170,Entry long,2025-01-12 01:58,Long,94377.5,1,94377.5,255.28,0.27,583.19,0.62,-69.31,-0.07,-68000.44,-0.68
1171,Exit short,2025-01-12 07:07,Close entry(s) order Short,94449.5,1,94555,48.8,0.05,266.63,0.28,-187.87,-0.20,-67951.64,-0.68
1171,Entry short,2025-01-12 04:23,Short,94555,1,94555,48.8,0.05,266.63,0.28,-187.87,-0.20,-67951.64,-0.68
1172,Exit long,2025-01-12 08:50,Close entry(s) order Long,94475.5,1,94622.5,-203.73,-0.22,14.11,0.01,-175.39,-0.19,-68155.37,-0.68
1172,Entry long,2025-01-12 08:03,Long,94622.5,1,94622.5,-203.73,-0.22,14.11,0.01,-175.39,-0.19,-68155.37,-0.68
1173,Exit short,2025-01-12 09:14,Close entry(s) order Short,94514,1,94380.5,-190.17,-0.20,0,0.00,-171.31,-0.18,-68345.54,-0.68
1173,Entry short,2025-01-12 09:03,Short,94380.5,1,94380.5,-190.17,-0.20,0,0.00,-171.31,-0.18,-68345.54,-0.68
1174,Exit short,2025-01-12 13:43,Close entry(s) order Short,94359.5,1,94427.5,11.36,0.01,173.17,0.18,-84.83,-0.09,-68334.17,-0.68
1174,Entry short,2025-01-12 11:58,Short,94427.5,1,94427.5,11.36,0.01,173.17,0.18,-84.83,-0.09,-68334.17,-0.68
1175,Exit short,2025-01-12 15:47,Close entry(s) order Short,93967.5,1,94215,191.05,0.20,525.74,0.56,-105.76,-0.11,-68143.13,-0.68
1175,Entry short,2025-01-12 14:04,Short,94215,1,94215,191.05,0.20,525.74,0.56,-105.76,-0.11,-68143.13,-0.68
1176,Exit long,2025-01-12 18:26,Close entry(s) order Long,94320,1,94074,189.48,0.20,479.78,0.51,-48.72,-0.05,-67953.65,-0.68
1176,Entry long,2025-01-12 16:37,Long,94074,1,94074,189.48,0.20,479.78,0.51,-48.72,-0.05,-67953.65,-0.68
1177,Exit long,2025-01-12 20:35,Close entry(s) order Long,94678,1,94600,21.22,0.02,322.12,0.34,-154.38,-0.16,-67932.43,-0.68
1177,Entry long,2025-01-12 18:51,Long,94600,1,94600,21.22,0.02,322.12,0.34,-154.38,-0.16,-67932.43,-0.68
1178,Exit long,2025-01-12 21:06,Close entry(s) order Long,94950,1,95147,-254.03,-0.27,262.46,0.28,-230.54,-0.24,-68186.46,-0.68
1178,Entry long,2025-01-12 20:50,Long,95147,1,95147,-254.03,-0.27,262.46,0.28,-230.54,-0.24,-68186.46,-0.68
1179,Exit long,2025-01-12 23:03,Close entry(s) order Long,94926,1,95136,-267.02,-0.28,2.46,0.00,-238.54,-0.25,-68453.48,-0.68
1179,Entry long,2025-01-12 22:44,Long,95136,1,95136,-267.02,-0.28,2.46,0.00,-238.54,-0.25,-68453.48,-0.68
1180,Exit long,2025-01-12 23:58,Close entry(s) order Long,95050,1,95226,-233.08,-0.24,23.43,0.02,-207.07,-0.22,-68686.56,-0.69
