Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1288,Entry short,2024-06-04 14:59,Short,51694.9,1,51694.9,-27311.96,-1.51,9323.7,0.52,-26761.3,-1.48,-1446151,-14.46
1289,Exit long,2024-06-06 11:38,Close entry(s) order Long,54059.35,1,52153.05,65605.27,3.59,76154.89,4.17,-2682.61,-0.15,-1380545.8,-13.81
1289,Entry long,2024-06-05 10:59,Long,52153.05,1,52153.05,65605.27,3.59,76154.89,4.17,-2682.61,-0.15,-1380545.8,-13.81
1290,Exit short,2024-06-06 11:56,Close entry(s) order Short,54137.05,1,53923.05,-8624.63,-0.46,623.81,0.03,-8166.44,-0.43,-1389170.4,-13.89
1290,Entry short,2024-06-06 11:49,Short,53923.05,1,53923.05,-8624.63,-0.46,623.81,0.03,-8166.44,-0.43,-1389170.4,-13.89
1291,Exit short,2024-06-06 13:29,Close entry(s) order Short,53978.05,1,53811.05,-6976.79,-0.37,4964.98,0.26,-6410.02,-0.34,-1396147.2,-13.96
1291,Entry short,2024-06-06 13:03,Short,53811.05,1,53811.05,-6976.79,-0.37,4964.98,0.26,-6410.02,-0.34,-1396147.2,-13.96
1292,Exit long,2024-06-06 14:07,Close entry(s) order Long,53883.05,1,54113.7,-9206.72,-0.49,0,0.00,-9337.44,-0.49,-1405353.9,-14.05
1292,Entry long,2024-06-06 13:43,Long,54113.7,1,54113.7,-9206.72,-0.49,0,0.00,-9337.44,-0.49,-1405353.9,-14.05
1293,Exit long,2024-06-07 13:16,Close entry(s) order Long,54469.25,1,54153.05,9926.47,0.52,15706.39,0.83,-8489.11,-0.45,-1395427.5,-13.95
1293,Entry long,2024-06-07 09:27,Long,54153.05,1,54153.05,9926.47,0.52,15706.39,0.83,-8489.11,-0.45,-1395427.5,-13.95
1294,Exit short,2024-06-07 13:37,Close entry(s) order Short,54463.95,1,54384.65,-3918.41,-0.21,1147.46,0.06,-3873.29,-0.20,-1399345.9,-13.99
1294,Entry short,2024-06-07 13:24,Short,54384.65,1,54384.65,-3918.41,-0.21,1147.46,0.06,-3873.29,-0.20,-1399345.9,-13.99
1295,Exit long,2024-06-10 09:37,Close entry(s) order Long,54543.05,1,54719.75,-7331.76,-0.38,5132.19,0.27,-6759.06,-0.35,-1406677.6,-14.07
1295,Entry long,2024-06-10 09:16,Long,54719.75,1,54719.75,-7331.76,-0.38,5132.19,0.27,-6759.06,-0.35,-1406677.6,-14.07
1296,Exit short,2024-06-10 10:11,Close entry(s) order Short,54576.3,1,54363.5,-8591.87,-0.45,2594.93,0.14,-8755.57,-0.46,-1415269.5,-14.15
1296,Entry short,2024-06-10 09:53,Short,54363.5,1,54363.5,-8591.87,-0.45,2594.93,0.14,-8755.57,-0.46,-1415269.5,-14.15
1297,Exit long,2024-06-10 11:57,Close entry(s) order Long,54518,1,54635.55,-5260.36,-0.28,423.83,0.02,-5036.17,-0.26,-1420529.9,-14.21
